A, b ready
BICGSTAB: system of size 252004
    k     ‖rₖ‖      |αₖ|      |ωₖ|  timer
  411  5.2e+04   5.0e-06   5.0e-07  1.57s
  412  5.2e+04   1.3e-06   1.5e-06  1.57s
  413  5.2e+04   1.4e-06   4.3e-05  1.58s
  414  5.3e+04   9.2e-06   7.8e-07  1.58s
  415  5.5e+04   3.5e-05   6.1e-07  1.59s
  416  5.1e+04   1.6e-07   8.9e-07  1.59s
  417  6.0e+04   8.3e-06   5.6e-07  1.60s
  418  5.1e+04   2.8e-08   2.4e-05  1.60s
  419  5.1e+04   2.0e-06   1.1e-06  1.60s
  420  5.0e+04   1.2e-05   9.6e-07  1.61s
  421  5.0e+04   1.8e-06   5.7e-07  1.61s
  422  5.0e+04   6.3e-07   6.9e-06  1.62s
  423  5.0e+04   1.6e-06   5.1e-07  1.62s
  424  4.9e+04   2.8e-06   2.2e-04  1.63s
  425  4.9e+04   3.0e-06   6.8e-07  1.63s
  426  4.8e+04   2.7e-06   5.3e-07  1.64s
  427  4.8e+04   1.1e-06   4.4e-06  1.64s
  428  4.9e+04   5.1e-06   5.3e-07  1.64s
  429  4.9e+04   3.3e-07   1.3e-06  1.65s
  430  4.8e+04   7.2e-06   1.0e-06  1.65s
  431  4.7e+04   1.0e-06   5.6e-06  1.66s
  432  4.7e+04   4.0e-06   5.1e-07  1.66s
  433  4.7e+04   2.3e-06   7.7e-06  1.67s
  434  4.7e+04   1.2e-06   9.3e-07  1.67s
  435  4.7e+04   2.8e-06   6.8e-07  1.68s
  436  4.6e+04   2.6e-06   1.0e-06  1.68s
  437  4.6e+04   8.2e-07   2.3e-06  1.69s
  438  4.6e+04   3.3e-06   7.4e-07  1.69s
  439  4.3e+04   5.5e-05   5.0e-07  1.69s
  440  4.5e+04   8.6e-08   6.4e-04  1.70s
  441  4.5e+04   1.2e-06   1.2e-06  1.70s
  442  4.4e+04   7.0e-06   5.7e-07  1.71s
  443  4.4e+04   9.7e-07   6.5e-06  1.71s
  444  4.4e+04   1.1e-06   2.2e-06  1.72s
  445  4.4e+04   3.4e-06   5.2e-07  1.72s
  446  4.4e+04   2.0e-07   9.5e-06  1.73s
  447  4.3e+04   3.1e-05   5.8e-07  1.73s
  448  4.3e+04   1.3e-06   2.2e-06  1.74s
  449  4.3e+04   1.5e-06   9.4e-07  1.74s
  450  4.2e+04   1.3e-05   5.0e-07  1.74s
  451  4.2e+04   3.0e-07   7.5e-05  1.75s
  452  4.2e+04   2.3e-06   9.0e-07  1.75s
  453  4.2e+04   3.4e-06   5.4e-07  1.76s
  454  4.2e+04   1.6e-06   5.3e-06  1.76s
  455  4.2e+04   1.4e-06   5.7e-07  1.77s
  456  4.1e+04   3.3e-06   1.7e-06  1.77s
  457  4.2e+04   2.3e-06   6.6e-07  1.78s
  458  4.1e+04   6.9e-07   3.8e-05  1.78s
  459  4.1e+04   1.2e-05   5.2e-07  1.78s
  460  4.0e+04   9.2e-07   9.0e-06  1.79s
  461  4.0e+04   1.1e-06   6.0e-07  1.79s
  462  4.0e+04   5.6e-07   1.1e-06  1.80s
  463  4.0e+04   7.5e-06   5.2e-07  1.80s
  464  4.0e+04   3.0e-06   1.5e-06  1.81s
  465  4.0e+04   1.2e-06   6.3e-06  1.81s
  466  4.0e+04   2.3e-06   5.1e-07  1.82s
  467  4.0e+04   1.4e-07   3.0e-05  1.82s
  468  3.9e+04   1.8e-05   5.6e-07  1.83s
  469  3.9e+04   1.4e-06   3.0e-05  1.83s
  470  3.9e+04   2.9e-05   6.5e-07  1.83s
  471  4.0e+04   3.0e-07   9.8e-07  1.84s
  472  4.0e+04   7.0e-06   5.2e-07  1.84s
